,id,type_de_bien,année,nb_de_pieces,surface,ville,prix
0,1,appartement,1970.0,2,47, ARCACHON,440000
1,21,appartement,1994.0,2,41, BORDEAUX,145800
2,30,appartement,1980.0,4,95, BORDEAUX,399000
3,31,maison,1975.0,7,159, LACANAU,545000
4,32,appartement,2009.0,3,68, BORDEAUX,224000
5,33,maison,1869.0,8,190, LA REOLE,213000
6,34,maison,1840.0,8,150, LA REOLE,251000
7,38,maison,1996.0,6,170, BELIN BELIET,472000
8,39,appartement,1900.0,2,46, BORDEAUX,298870
9,41,maison,1780.0,9,335, ST EMILION,577000
10,42,maison,1900.0,5,188, ST SEURIN SUR L ISLE,157000
11,43,maison,2000.0,7,126, AUDENGE,334950
12,46,appartement,1950.0,3,69, BORDEAUX,392200
13,47,appartement,2019.0,5,111, BORDEAUX,466000
14,48,appartement,2020.0,5,118, PESSAC,580000
15,49,appartement,2019.0,3,71, BORDEAUX,290000
16,51,maison,1900.0,9,315, MORIZES,305000
17,53,appartement,1991.0,2,25, LACANAU OCEAN                   ,103000
18,54,appartement,1970.0,1,26, BORDEAUX,160500
19,59,maison,1970.0,4,108, BIGANOS,356000
20,61,appartement,2020.0,4,86, LA TESTE DE BUCH,360000
21,62,appartement,1990.0,5,103, BORDEAUX,530000
22,65,maison,1920.0,9,292, ARVEYRES,372000
23,67,maison,2002.0,9,241, TALAIS,483600
24,68,appartement,2019.0,2,44, LE TAILLAN MEDOC,186000
25,69,maison,2000.0,6,160, ST ANDRE DE CUBZAC,365000
26,70,appartement,2012.0,2,38, LACANAU OCEAN                   ,179000
27,71,maison,1850.0,6,161, LANGON,222000
28,72,maison,1900.0,4,90, GUITRES,76000
29,73,maison,1900.0,3,70, GUITRES,60000
30,74,appartement,1974.0,4,107, ARCACHON,472500
31,75,maison,1968.0,7,150, BORDEAUX,729000
32,79,maison,1996.0,3,70, LIBOURNE,172500
33,80,maison,1968.0,5,111, AUDENGE,381000
34,81,maison,1985.0,7,150, BORDEAUX,468000
