id,type_de_bien,année,nb_de_pieces,surface,ville,prix
1,appartement,1970,2,47, ARCACHON,440000
19,maison,8,4,282, LUDON MEDOC,664650
20,maison,4,3,140, ARCACHON,787500
21,appartement,1994,2,41, BORDEAUX,145800
22,maison,9,4,360, PESSAC,756000
23,appartement,2,1,43, EYSINES,209000
24,maison,4,2,138, ST PEY DE CASTETS,160000
25,maison,4,3,110, PELLEGRUE,107500
26,maison,4,3,95, STE FOY LA GRANDE,118000
27,maison,5,4,127, ST MEDARD EN JALLES,485500
28,appartement,4,3,87, BORDEAUX,270000
29,maison,4,2,110, BORDEAUX,403500
30,appartement,1980,4,95, BORDEAUX,399000
31,maison,1975,7,159, LACANAU,545000
32,appartement,2009,3,68, BORDEAUX,224000
33,maison,1869,8,190, LA REOLE,213000
34,maison,1840,8,150, LA REOLE,251000
35,maison,3,2,57, LA TESTE DE BUCH,296000
36,maison,5,4,116, GRADIGNAN,520000
37,appartement,2,1,34, LE BOUSCAT,220000
38,maison,1996,6,170, BELIN BELIET,472000
39,appartement,1900,2,46, BORDEAUX,298870
40,maison,3,2,75, BORDEAUX,249100
41,maison,1780,9,335, ST EMILION,577000
42,maison,1900,5,188, ST SEURIN SUR L ISLE,157000
43,maison,2000,7,126, AUDENGE,334950
44,appartement,4,3,100, SOULAC SUR MER,473670
45,maison,4,2,171, ST VIVIEN DE MEDOC,155000
46,appartement,1950,3,69, BORDEAUX,392200
47,appartement,2019,5,111, BORDEAUX,466000
48,appartement,2020,5,118, PESSAC,580000
49,appartement,2019,3,71, BORDEAUX,290000
50,appartement,2,1,35, TALENCE,184000
51,maison,1900,9,315, MORIZES,305000
52,appartement,3,2,37, SOULAC SUR MER,80000
53,appartement,1991,2,25, LACANAU OCEAN                   ,103000
54,appartement,1970,1,26, BORDEAUX,160500
55,maison,4,2,80, LORMONT,228500
56,appartement,2,1,40, ST JEAN D ILLAC,158000
57,maison,9,6,220, LE HAILLAN,787500
58,appartement,5,4,140, BORDEAUX,565500
59,maison,1970,4,108, BIGANOS,356000
60,maison,5,4,275, PYLA SUR MER,1050000
61,appartement,2020,4,86, LA TESTE DE BUCH,360000
62,appartement,1990,5,103, BORDEAUX,530000
63,maison,5,3,150, ST ANDRE DE CUBZAC,370500
64,maison,4,3,94, CENON,296500
65,maison,1920,9,292, ARVEYRES,372000
66,maison,11,7,370, BORDEAUX,2590000
67,maison,2002,9,241, TALAIS,483600
68,appartement,2019,2,44, LE TAILLAN MEDOC,186000
69,maison,2000,6,160, ST ANDRE DE CUBZAC,365000
70,appartement,2012,2,38, LACANAU OCEAN                   ,179000
71,maison,1850,6,161, LANGON,222000
72,maison,1900,4,90, GUITRES,76000
73,maison,1900,3,70, GUITRES,60000
74,appartement,1974,4,107, ARCACHON,472500
75,maison,1968,7,150, BORDEAUX,729000
76,appartement,1,4,14, BORDEAUX,118200
77,maison,7,4,150, SALLES,369250
78,appartement,3,2,85, BORDEAUX,358000
79,maison,1996,3,70, LIBOURNE,172500
80,maison,1968,5,111, AUDENGE,381000
81,maison,1985,7,150, BORDEAUX,468000
82,maison,9,7,250, FRONSAC,555000
83,appartement,1970,2,47, ARCACHON,440000
84,maison,3,2,79, AUDENGE,248400
85,maison,4,3,95, BOURG,160500
86,maison,4,3,120, BORDEAUX,682500
87,appartement,1985,2,40, ARCACHON,525000
88,appartement,1998,1,23, ARCACHON,213000
89,maison,2005,3,62, MIOS,267000
90,appartement,1900,1,39, BORDEAUX,224600
91,appartement,1960,2,34, ARCACHON,336000
92,appartement,4,1,89, LACANAU OCEAN                   ,249000
93,maison,5,3,122, LA REOLE,226000
94,maison,8,5,133, LANGON,315000
95,maison,2012,4,100, LANTON,432000
96,maison,1980,5,68, LACANAU OCEAN                   ,265000
97,appartement,1970,2,56, MERIGNAC,196100
98,maison,2,1,65, AMBARES ET LAGRAVE,190000
99,appartement,1965,3,64, BORDEAUX,184000
100,maison,1930,3,77, ANDERNOS LES BAINS,299000
101,maison,1940,4,70, LANTON,367500
102,maison,8,6,293, BRUGES,1575000
103,maison,1994,4,157, ARES,582400
104,maison,4,3,128, MERIGNAC,528000
105,maison,4,3,86, LE HAILLAN,310000
106,maison,9,6,226, ARCACHON,2640000
107,appartement,4,3,83, VILLENAVE D ORNON,325900
108,maison,7,3,165, BORDEAUX,724500
109,maison,4,3,86, ARES,334000
110,maison,4,3,90, TARGON,171000
111,maison,2010,8,195, AUDENGE,472500
112,appartement,2,1,46, PESSAC,239000
113,maison,5,4,95, BORDEAUX,399500
114,appartement,2,1,45, GRADIGNAN,168000
115,maison,7,5,154, GRADIGNAN,399000
116,appartement,2,1,42, CADAUJAC,154500
117,maison,4,3,87, LEOGNAN,302000
118,maison,2019,4,117, SALLES,366492
119,appartement,1900,5,137, BORDEAUX,798000
120,appartement,1970,1,24, LIBOURNE,56000
121,appartement,2,1,23, SOULAC SUR MER,108300
122,appartement,2,1,50, CARTELEGUE,48000
123,maison,8,6,217, VILLENEUVE,292600
124,maison,8,6,217, BLAYE,292600
125,maison,4,2,82, ST CIERS SUR GIRONDE,82000
126,maison,3,2,100, BORDEAUX,460000
127,maison,1978,5,110, EYSINES,530250
128,appartement,1900,4,110, BORDEAUX,682000
129,appartement,1900,3,133, BORDEAUX,840000
130,maison,1900,7,259, BORDEAUX,1732000
131,maison,11,6,496, FLOIRAC,1660000
132,maison,1984,4,130, LA TESTE DE BUCH,499000
133,maison,1984,4,130, CAZAUX                          ,499000
134,maison,2016,5,115, BRUGES,639700
135,maison,1880,10,470, BORDEAUX,688000
136,maison,1980,2,31, LACANAU OCEAN                   ,160000
137,appartement,2022,4,85, GRADIGNAN,376000
